mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
12	12	3/4	3/4	2/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
13	13	0	0	2/2	1	1		I				I	I								M	0, 4, 1		0	0
13	13	1/4	1/4	2/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
13	13	3/4	3/4	2/2	1	1		i				i	i								m	0, -3, 1		0	0
14	14	0	0	2/2	1	1		I}{				I	I							}{	M	0, 4, 1		0	0
15	15	0	0	2/2	1	1		vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
15	15	1/4	1/4	2/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
15	15	1/2	1/2	2/2	1	1		i(2)				i(2)	i			2					m	2, -3, 1		0	2
15	15	3/4	3/4	2/2	1	1		i				i	i								m	0, -3, 1		0	0
16	16	0	0	2/2	1	1		vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
16	16	1/4	1/4	2/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
16	16	1/2	1/2	2/2	1	1		V7/VI				V7/VI	V		7		VI				Mm7	-3, 1, -2, -5		-3	-3
16	16	3/4	3/4	2/2	1	1		V(64)/VI				V(64)/VI	V			64	VI				M	-3, -4, 0		-3	-3
17	17	0	0	2/2	1	1		V(4)/VI				V(4)/VI	V			4	VI				M	-3, -4, -2		-3	-3
17	17	1/4	1/4	2/2	1	1		V/VI				V/VI	V				VI				M	-3, 1, -2		-3	-3
17	17	1/2	1/2	2/2	1	1		vi65(2)/VI				vi65(2)/VI	vi		65	2	VI				mm7	-4, 0, -3, 1		-1	-4
17	17	3/4	3/4	2/2	1	1		vi6/VI				vi6/VI	vi		6		VI				m	-4, 0, -1		-1	-4
18	18	0	0	2/2	1	1		V2/III				V2/III	V		2		III				Mm7	-4, -2, 2, -1		-2	-4
18	18	1/2	1/2	2/2	1	1		#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
19	19	0	0	2/2	1	1		iv}{				iv	iv							}{	m	-1, -4, 0		-1	-1
19	19	1/2	1/2	2/2	1	1		VII(2)/iv				VII(2)/iv	VII			2	iv				M	-1, 1, -2		-3	-1
19	19	3/4	3/4	2/2	1	1		VII/iv				VII/iv	VII				iv				M	-3, 1, -2		-3	-3
20	20	0	0	2/2	1	1		V(13)/iv				V(13)/iv	V			13	iv				M	0, 4, 1	-4	0	0
20	20	1/2	1/2	2/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
20	20	3/4	3/4	2/2	1	1		iv/iv				iv/iv	iv				iv				m	-2, -5, -1		-2	-2
21	21	0	0	2/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
21	21	1/4	1/4	2/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
21	21	1/2	1/2	2/2	1	1		IV6(9)				IV6(9)	IV		6	9					M	3, 0, -1	1	-1	3
21	21	3/4	3/4	2/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
22	22	0	0	2/2	1	1		iv(9)/IV				iv(9)/IV	iv			9	IV				m	-2, -5, -1	0	-2	-2
22	22	1/4	1/4	2/2	1	1		iv/IV				iv/IV	iv				IV				m	-2, -5, -1		-2	-2
22	22	1/2	1/2	2/2	1	1		V(13)/iii				V(13)/iii	V			13	iii				M	-2, 2, -1	-6	-2	-2
22	22	3/4	3/4	2/2	1	1		V(64)/iii				V(64)/iii	V			64	iii				M	-2, -3, -6		-2	-2
23	23	0	0	4/2	1	1		V(4)/III				V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
23	23	1/4	1/4	4/2	1	1		V/III				V/III	V				III				M	-2, 2, -1		-2	-2
23	23	1	1	4/2	1	1		III}				III	III							}	M	-3, 1, -2		-3	-3
23	23	3/2	3/2	4/2	1	1		{												{					
24	24	0	0	4/2	1	1		#viio64/vii				#viio64/vii	#vii	o	64		vii				o	-3, 3, 0		3	-3
24	24	1/2	1/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
24	24	1	1	4/2	1	1		I				I	I								M	0, 4, 1		0	0
24	24	5/4	5/4	4/2	1	1		VI6				VI6	VI		6						M	0, -3, -4		-4	0
24	24	3/2	3/2	4/2	1	1		II				II	II								M	2, 6, 3		2	2
25	25	0	0	2/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
25	25	1/4	1/4	2/2	1	1		V6/vii				V6/vii	V		6		vii				M	3, 0, -1		-1	3
25	25	1/2	1/2	2/2	1	1		V/vii				V/vii	V				vii				M	-1, 3, 0		-1	-1
25	25	3/4	3/4	2/2	1	1		V(64)/vii				V(64)/vii	V			64	vii				M	-1, -2, -5		-1	-1
26	26	0	0	2/2	1	1		iv7/vii				iv7/vii	iv		7		vii				mm7	-3, -6, -2, -5		-3	-3
26	26	1/4	1/4	2/2	1	1		iio6/vii				iio6/vii	ii	o	6		vii				o	-3, -6, 0		0	-3
26	26	1/2	1/2	2/2	1	1		V65/VII				V65/VII	V		65		VII				Mm7	3, 0, -3, -1		-1	3
26	26	3/4	3/4	2/2	1	1		V/VII				V/VII	V				VII				M	-1, 3, 0		-1	-1
27	27	0	0	2/2	1	1		VII				VII	VII								M	-2, 2, -1		-2	-2
27	27	1/2	1/2	2/2	1	1		V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
27	27	3/4	3/4	2/2	1	1		V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
28	28	0	0	2/2	1	1		VI/iv				VI/iv	VI				iv				M	-5, -1, -4		-5	-5
28	28	1/2	1/2	2/2	1	1		V7/vi				V7/vi	V		7		vi				Mm7	-3, 1, -2, -5		-3	-3
28	28	3/4	3/4	2/2	1	1		V(64)/vi				V(64)/vi	V			64	vi				M	-3, -4, -7		-3	-3
29	29	0	0	2/2	1	1		V(4)/VI				V(4)/VI	V			4	VI				M	-3, -4, -2		-3	-3
29	29	1/4	1/4	2/2	1	1		V/VI				V/VI	V				VI				M	-3, 1, -2		-3	-3
30	30	0	0	4/2	1	1		vi6(2)/VI				vi6(2)/VI	vi		6	2	VI				m	-4, 0, 1		-1	-4
30	30	1/4	1/4	4/2	1	1		vi6/VI				vi6/VI	vi		6		VI				m	-4, 0, -1		-1	-4
30	30	3/4	3/4	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
30	30	1	1	4/2	1	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
30	30	5/4	5/4	4/2	1	1		V(64)				V(64)	V			64					M	1, 0, -3		1	1
30	30	7/4	7/4	4/2	1	1		v				v	v								m	1, -2, 2		1	1
31	31	0	0	4/2	1	1		IIIM7				IIIM7	III	M	7						MM7	-3, 1, -2, 2		-3	-3
31	31	1/4	1/4	4/2	1	1		VIM43				VIM43	VI	M	43						MM7	-3, 1, -4, 0		-4	-3
31	31	1/2	1/2	4/2	1	1		III(4)				III(4)	III			4					M	-3, -4, -2		-3	-3
31	31	3/4	3/4	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
31	31	1	1	4/2	1	1		viio6/VII				viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
31	31	3/2	3/2	4/2	1	1		V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
31	31	7/4	7/4	4/2	1	1		#ii%2				#ii%2	#ii	%	2						%7	7, 9, 6, 3		9	7
32	32	0	0	4/2	1	1		I				I	I								M	0, 4, 1		0	0
32	32	1/4	1/4	4/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
32	32	1/2	1/2	4/2	1	1		I				I	I								M	0, 4, 1		0	0
32	32	1	1	4/2	1	1		vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
32	32	3/2	3/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
33	33	0	0	4/2	1	1		I(64)}				I(64)	I			64				}	M	0, -1, -4		0	0
33	33	1/2	1/2	4/2	1	1		I				I	I								M	0, 4, 1		0	0
